Subset,Label task,Pairs,Correct,Incorrect,Accuracy,Macro F1,Weighted F1
Exact span matches,Causality,818,648,170,0.7921760391198044,0.6273727986966354,0.8024762416462524
Exact span matches,Sententiality,818,776,42,0.9486552567237164,0.5095363179534034,0.9679447191503194
Partial span matches only,Causality,2341,1244,1097,0.5313968389577104,0.5310011200482426,0.5329506176169442
Partial span matches only,Sententiality,2341,1798,543,0.7680478428022213,0.4917797621546414,0.8379952073694242
Exact + partial span matches,Causality,3159,1892,1267,0.5989237100348211,0.5832834360795095,0.6066160669965022
Exact + partial span matches,Sententiality,3159,2574,585,0.8148148148148148,0.504458097955075,0.8732860202711897
